Illustrator,Card Count
Hizuki Misono,4
Hideyuki Nakajima,4
Yuichi Sawayama,4
kanahei,4
Emi Miwa,4
T. Honda,4
Emi Yoshida,4
Shinji Higuchi,4
Shinji Higuchi + Sachiko Eba/樋口真嗣 + 江場左知子,4
Maiko Fujiwara,3
KG-2000,3
Misaki Hashimoto,3
Fumie Kittaka,3
Tomomi Kaneko,3
Nobusawa/Mochipuyo,3
Ebila,3
Hideki Kazama,3
Tomoko Wakai,3
M. Akiyama,3
Yosuke Da Silva,3
Jumpei Akasaka,3
Shinji Higuchi + Sachiko Eba,3
Daisuke Iwamoto,2
Kouji Tajima,2
Reiko Tanoue,2
Minato,2
HICO KIM,2
Yamazaki Rei,2
hanabushi,2
Tetsuo Hara,2
Raita Kazama,2
Imakuni?,2
Mikio Menjo,2
Sachi Matoba,2
Asuka Iwashita,2
Aimi Tomita,2
Mana Ibe,2
Takabon,2
Mt. TBT,2
Yusuke Kozaki,2
Kinu Nishimura,2
Nobuyuki Fujimoto,2
Mikiko Takeda,2
Kunihiko Yuyama,2
Shinji Higuchi + Noriko Takaya,2
Shinji Higuchi + Noriko Takaya/樋口真嗣+高屋法子,2
Shinji Higuchi + Sachiko Eba/樋口真嗣+江場左知子,2
Benimaru Itoh,2
Mosakazu Fukuda,2
Christopher Rush,2
hechima,2
Tomohiro Kitakaze,1
okawamatakatoshi,1
Fujmoto Gold,1
Acorviart,1
Ito Kyoko,1
Anderson,1
Kazuki Minami,1
Etsuya Hattori,1
Junsei Kuninobu,1
Sakiko Maeda,1
Ken Sugimori Yusuke Ohmura,1
Nabana Kensaku,1
Avec Yoko,1
Huang Tzu En,1
Noriko Uono,1
Nagimiso,1
Yusuke Shimada,1
Yasuki Watanabe,1
K Hoshiba,1
MikiTanaka,1
Tokumi Akabane,1
Tomokazu,1
Ken Ikugi,1
Mark Kraus,1
Sylvia Forrest,1
Rowan Laidlaw,1
May Do,1
Katie Gross,1
Midroi Harada,1
Big Mama\,1
Illus. & Direc. The Pokémon Company Art Team,1
Rya Ueda,1
Keiko Moritsugu,1
Shinji Higuchi + Sachiko Eba 樋口 真嗣 + 江場 左知子,1
Wataru Kawahara/Direc. Shinji Higuchi,1
Kent Kanetsuna/Direc. Shinji Higuchi,1
Ken Sudimori,1
Gakuji Nomoto,1
Craig Turvey,1
Dr.Ooyama,1
Noriaki Tanimura,1
June,1
REOspikee,1
Natsuko Shoji été,1
Haruko Ichikawa,1
nagano,1
Tetsuo Yajima,1
